transcript_id,transcript_position,score
ENST00000000233,244,0.2982200741767883
ENST00000000233,261,0.29650205075740815
ENST00000000233,316,0.11494413167238235
ENST00000000233,332,0.3161963164806366
ENST00000000233,368,0.34667418599128724
ENST00000000233,404,0.2972137898206711
ENST00000000233,431,0.28183590769767763
ENST00000000233,440,0.22904236912727355
ENST00000000233,471,0.4500261664390564
ENST00000000233,539,0.28445268273353574
ENST00000000233,571,0.3654815196990967
ENST00000000233,575,0.15246208161115646
ENST00000000233,665,0.526992404460907
ENST00000000233,696,0.07054703161120415
ENST00000000233,752,0.2301339328289032
ENST00000000233,757,0.34894132018089297
ENST00000000233,765,0.44731940031051637
ENST00000000233,913,0.44062803983688353
ENST00000000412,355,0.3280094087123871
ENST00000000412,367,0.30333892703056337
ENST00000000412,496,0.2779929280281067
ENST00000000412,501,0.6050408840179443
ENST00000000412,547,0.1790023297071457
ENST00000000412,559,0.254465551674366
ENST00000000412,627,0.07987564280629159
ENST00000000412,674,0.30301649272441866
ENST00000000412,769,0.23322412371635437
ENST00000000412,783,0.2729487895965576
ENST00000000412,793,0.38012762665748595
ENST00000000412,854,0.15149522423744202
ENST00000000412,923,0.26915614902973173
ENST00000000412,932,0.07090671956539155
ENST00000000412,1190,0.22445411384105682
ENST00000000412,1209,0.16856154501438142
ENST00000000412,1250,0.2728497326374054
ENST00000000412,1283,0.1673915684223175
ENST00000000412,1343,0.21664502024650573
ENST00000000412,1458,0.4059049367904663
ENST00000000412,1545,0.2873408615589142
ENST00000000412,1570,0.16238159090280532
ENST00000000412,1638,0.3439154356718063
ENST00000000412,1661,0.3188209652900696
ENST00000000412,1699,0.24759227484464646
ENST00000000412,1790,0.3688188433647156
ENST00000000412,1860,0.27348859012126925
ENST00000000412,1888,0.32751498818397523
ENST00000000412,1960,0.39316420555114745
ENST00000000412,1986,0.5223257899284363
ENST00000000412,2195,0.3172676354646683
ENST00000000412,2230,0.24588368833065033
ENST00000000412,2275,0.2788595139980316
ENST00000000412,2434,0.35065761804580686
ENST00000000412,2462,0.3638928771018982
ENST00000000412,2484,0.040410381928086284
ENST00000000412,2564,0.2601284384727478
ENST00000000412,2580,0.7771779417991638
ENST00000000412,2618,0.15757657662034036
ENST00000000412,2707,0.2140086203813553
ENST00000000412,2728,0.2689944475889206
ENST00000001008,190,0.168945249915123
ENST00000001008,257,0.20450006425380707
ENST00000001008,270,0.13974024057388307
ENST00000001008,338,0.36248918175697326
ENST00000001008,389,0.35380351543426514
ENST00000001008,410,0.27867342829704284
ENST00000001008,425,0.266170734167099
ENST00000001008,458,0.23353544473648072
ENST00000001008,510,0.20094453692436218
ENST00000001008,652,0.3011547148227692
ENST00000001008,725,0.3922938644886017
ENST00000001008,737,0.25303180515766144
ENST00000001008,776,0.20254614651203157
ENST00000001008,831,0.2790834724903107
ENST00000001008,990,0.33803086280822753
ENST00000001008,1179,0.16660514771938323
ENST00000001008,1214,0.03742842264473438
ENST00000001008,1227,0.5198917984962463
ENST00000001008,1232,0.3442170560359955
ENST00000001008,1289,0.522009426355362
ENST00000001008,1296,0.5333297491073609
ENST00000001008,1357,0.30953245759010317
ENST00000001008,1454,0.25617063641548155
ENST00000001008,1484,0.21491355299949647
ENST00000001008,1496,0.283448252081871
ENST00000001008,1555,0.22331339716911316
ENST00000001008,1642,0.3907171070575714
ENST00000001008,1666,0.3396368741989136
ENST00000001008,1793,0.3306782066822052
ENST00000001008,1905,0.5036155343055725
ENST00000001008,1924,0.47184487581253054
ENST00000001008,2002,0.3273137301206589
ENST00000001008,2013,0.281968766450882
ENST00000001008,2095,0.21504316329956055
ENST00000001008,2242,0.053243032097816466
ENST00000002165,35,0.23966173827648163
ENST00000002165,54,0.35099575519561765
ENST00000002165,207,0.18903552293777465
ENST00000002165,367,0.31946606934070587
ENST00000002165,449,0.18699916303157807
ENST00000002165,457,0.17671748995780945
ENST00000002165,501,0.49628459215164183
ENST00000002165,534,0.37204580307006835
ENST00000002165,547,0.4667954921722412
ENST00000002165,567,0.27563450634479525
ENST00000002165,572,0.44937363266944885
ENST00000002165,576,0.36279979944229124
ENST00000002165,589,0.7533411979675293
ENST00000002165,680,0.2877966046333313
ENST00000002165,708,0.3000328242778778
ENST00000002165,771,0.3818119764328003
ENST00000002165,900,0.11791785657405854
ENST00000002165,907,0.2140409141778946
ENST00000002165,933,0.2370731681585312
ENST00000002165,941,0.19801340997219086
ENST00000002165,948,0.10165686681866645
ENST00000002165,952,0.24445469677448273
ENST00000002165,990,0.4295037746429443
ENST00000002165,1031,0.2280866265296936
ENST00000002165,1163,0.09121308550238609
ENST00000002165,1188,0.19473362863063812
ENST00000002165,1273,0.20710352659225464
ENST00000002165,1324,0.15050844848155975
ENST00000002165,1339,0.4243064224720001
ENST00000002165,1350,0.44194463491439817
ENST00000002165,1387,0.4855611264705658
ENST00000002165,1400,0.06617969423532485
ENST00000002165,1445,0.492585563659668
ENST00000002165,1506,0.4542171716690063
ENST00000002165,1553,0.43030872344970705
ENST00000002165,1630,0.03907731287181378
ENST00000002165,1639,0.21342310309410095
ENST00000005340,609,0.46660231351852416
ENST00000005340,655,0.3352916121482849
ENST00000005340,671,0.5359883308410645
ENST00000005340,733,0.19543803334236146
ENST00000005340,739,0.08217020407319069
ENST00000005340,817,0.40109541416168215
ENST00000005340,880,0.20248933434486388
ENST00000005340,911,0.43844040632247927
ENST00000005340,1094,0.21700738966464997
ENST00000005340,1226,0.4332526743412018
ENST00000005340,1247,0.0976252242922783
ENST00000005340,1253,0.3315774381160736
ENST00000005340,1262,0.2209152340888977
ENST00000005340,1298,0.3396071881055832
ENST00000005340,1330,0.3284352123737335
ENST00000005340,1406,0.21825148165225983
ENST00000005340,1441,0.3897085964679718
ENST00000005340,1547,0.43184428215026854
ENST00000005340,1561,0.28892419338226316
ENST00000005340,1590,0.4796338856220245
ENST00000005340,1604,0.2763537973165512
ENST00000005340,1661,0.26343479454517366
ENST00000005340,1802,0.16191339939832688
ENST00000005340,1850,0.2792092144489288
ENST00000005340,1877,0.30950204133987425
ENST00000005340,2200,0.36178969740867617
ENST00000005340,2286,0.4043014168739319
ENST00000005340,2399,0.25087922215461733
ENST00000005340,2421,0.5468267321586608
ENST00000005340,2425,0.19439986646175383
ENST00000005340,2536,0.5016168057918549
ENST00000005340,2626,0.5088338196277619
ENST00000005340,2672,0.06377218142151833
ENST00000005340,2679,0.36764081120491027
ENST00000005340,2754,0.345273894071579
ENST00000005340,2815,0.2649488002061844
ENST00000005340,2828,0.2997009515762329
ENST00000005340,2909,0.17295829355716705
ENST00000005340,2988,0.1956035852432251
ENST00000007264,108,0.684423828125
ENST00000007264,298,0.3352561295032501
ENST00000007264,370,0.10393539071083069
ENST00000007264,420,0.2353447586297989
ENST00000007264,471,0.03490849062800407
ENST00000007264,496,0.3419370174407959
ENST00000007264,553,0.3228259444236755
ENST00000007264,590,0.24733554422855378
ENST00000007264,708,0.33061230182647705
ENST00000007264,736,0.3638369023799896
ENST00000007264,787,0.6904195189476013
ENST00000007264,817,0.32702686786651614
ENST00000007264,877,0.52277792096138
ENST00000007264,916,0.4235005140304565
ENST00000007264,1061,0.34325115084648133
ENST00000007264,1066,0.7358309984207153
ENST00000007264,1116,0.79006986618042
ENST00000007264,1293,0.7651780247688293
ENST00000007264,1341,0.1178755909204483
ENST00000007264,1366,0.3720967352390289
ENST00000007264,1413,0.7784525394439697
ENST00000007264,1564,0.22404769361019133
ENST00000007264,1640,0.2983726292848587
ENST00000007264,1923,0.6195244669914246
ENST00000007264,2015,0.7714401364326477
ENST00000007390,435,0.16645013689994811
ENST00000007390,439,0.250627663731575
ENST00000007390,500,0.41045711636543275
ENST00000007390,570,0.5362678050994873
ENST00000007390,589,0.3199212968349457
ENST00000007390,642,0.18583841919898986
ENST00000007390,693,0.4910656690597534
ENST00000007390,699,0.3387866079807281
ENST00000007390,714,0.33409261107444765
ENST00000007390,846,0.09844746217131614
ENST00000007390,885,0.438679975271225
ENST00000007390,894,0.16357787549495698
ENST00000007390,912,0.29825175404548643
ENST00000007390,1041,0.7315683245658875
ENST00000007390,1055,0.29809613823890685
ENST00000007390,1096,0.6857947111129761
