transcript_id,transcript_position,score
ENST00000000233,244,0.13463972508907318
ENST00000000233,261,0.30795711278915405
ENST00000000233,316,0.044181305915117264
ENST00000000233,332,0.4608292877674103
ENST00000000233,368,0.12248586118221283
ENST00000000233,404,0.45350897312164307
ENST00000000233,431,0.572944164276123
ENST00000000233,440,0.11345604807138443
ENST00000000233,471,0.8267606496810913
ENST00000000233,539,0.3180282711982727
ENST00000000233,571,0.4931163787841797
ENST00000000233,575,0.14901293814182281
ENST00000000233,665,0.7481297254562378
ENST00000000233,696,2.360492867344561e-32
ENST00000000233,752,0.06915757805109024
ENST00000000233,757,0.13090920448303223
ENST00000000233,765,0.8363507390022278
ENST00000000233,913,0.670069694519043
ENST00000000412,355,0.4256384074687958
ENST00000000412,367,0.2566829025745392
ENST00000000412,496,0.21693003177642822
ENST00000000412,501,0.9279475808143616
ENST00000000412,547,0.23173098266124725
ENST00000000412,559,0.4841114580631256
ENST00000000412,627,0.006120599340647459
ENST00000000412,674,0.20023249089717865
ENST00000000412,769,0.10690346360206604
ENST00000000412,783,0.09816441684961319
ENST00000000412,793,0.21757772564888
ENST00000000412,854,0.09987421333789825
ENST00000000412,923,0.1616763472557068
ENST00000000412,932,1.139576415636302e-31
ENST00000000412,1190,0.18289457261562347
ENST00000000412,1209,1.9637478017938033e-14
ENST00000000412,1250,0.06425832211971283
ENST00000000412,1283,0.05775278061628342
ENST00000000412,1343,0.0006103630876168609
ENST00000000412,1458,0.21534140408039093
ENST00000000412,1545,0.043896809220314026
ENST00000000412,1570,0.11001496016979218
ENST00000000412,1638,0.003815992968156934
ENST00000000412,1661,0.31265988945961
ENST00000000412,1699,0.04417966678738594
ENST00000000412,1790,0.5540952682495117
ENST00000000412,1860,0.3719310760498047
ENST00000000412,1888,0.24032239615917206
ENST00000000412,1960,0.09031080454587936
ENST00000000412,1986,0.8236793279647827
ENST00000000412,2195,2.1127966931544506e-07
ENST00000000412,2230,0.09451703727245331
ENST00000000412,2275,0.25442391633987427
ENST00000000412,2434,0.09505011886358261
ENST00000000412,2462,0.3160901665687561
ENST00000000412,2484,3.634958864887845e-19
ENST00000000412,2564,0.10174884647130966
ENST00000000412,2580,0.9932180047035217
ENST00000000412,2618,0.00019838158914353698
ENST00000000412,2707,0.0007779625593684614
ENST00000000412,2728,0.18886280059814453
ENST00000001008,190,0.12008578330278397
ENST00000001008,257,0.16373570263385773
ENST00000001008,270,0.043763089925050735
ENST00000001008,338,0.6072724461555481
ENST00000001008,389,0.6125546097755432
ENST00000001008,410,0.11928863823413849
ENST00000001008,425,0.09199421107769012
ENST00000001008,458,0.30623507499694824
ENST00000001008,510,0.0009062643512152135
ENST00000001008,652,0.15667693316936493
ENST00000001008,725,0.20819206535816193
ENST00000001008,737,0.1266999989748001
ENST00000001008,776,0.4179115891456604
ENST00000001008,831,0.20007194578647614
ENST00000001008,990,0.24948041141033173
ENST00000001008,1179,0.13819517195224762
ENST00000001008,1214,0.0
ENST00000001008,1227,0.8844082951545715
ENST00000001008,1232,0.5569704174995422
ENST00000001008,1289,0.20288079977035522
ENST00000001008,1296,0.7230335474014282
ENST00000001008,1357,0.11519995331764221
ENST00000001008,1454,0.17510193586349487
ENST00000001008,1484,0.19802388548851013
ENST00000001008,1496,0.30993109941482544
ENST00000001008,1555,0.22495292127132416
ENST00000001008,1642,0.635618269443512
ENST00000001008,1666,0.12261930108070374
ENST00000001008,1793,0.3592146635055542
ENST00000001008,1905,0.862329363822937
ENST00000001008,1924,0.7672917246818542
ENST00000001008,2002,0.295286625623703
ENST00000001008,2013,0.000973901420366019
ENST00000001008,2095,0.1254260540008545
ENST00000001008,2242,0.013255263678729534
ENST00000002165,35,0.11378166824579239
ENST00000002165,54,0.22138692438602448
ENST00000002165,207,0.011317376047372818
ENST00000002165,367,0.3198484778404236
ENST00000002165,449,0.14197273552417755
ENST00000002165,457,0.03437352553009987
ENST00000002165,501,0.8502912521362305
